1575110250.564865,0
1575110250.672843,19
1575110250.786125,20
1575110250.897779,0
1575110251.008800,0
1575110251.119373,0
1575110251.231666,17
1575110251.337312,10
1575110251.449542,11
1575110251.561904,12
1575110251.674475,20
1575110251.787765,20
1575110251.903838,15
1575110252.016479,9
1575110252.128395,19
1575110252.241286,1
1575110252.350326,3
1575110252.459841,5
1575110252.565980,5
1575110252.671642,19
1575110252.781156,18
1575110252.894109,3
1575110253.001118,6
1575110253.113657,7
1575110253.224100,8
1575110253.336649,8
1575110253.449433,10
1575110253.561741,11
1575110253.673946,11
1575110253.786763,11
1575110253.899087,13
1575110254.011957,14
1575110254.124291,15
1575110254.236594,15
1575110254.348739,15
1575110254.456414,15
1575110254.568803,16
1575110254.681316,16
1575110254.789502,17
1575110254.901381,18
1575110255.013410,19
1575110255.125715,20
1575110255.238861,9
1575110255.351241,10
1575110255.463945,10
1575110255.569507,11
1575110255.676071,12
1575110255.788792,12
1575110255.901075,14
1575110256.009265,14
1575110256.121515,14
1575110256.234005,17
1575110256.346087,17
1575110256.458179,17
1575110256.570704,18
1575110256.674336,18
1575110256.786876,18
1575110256.898900,18
1575110257.011068,18
1575110257.118266,10
1575110257.230151,11
1575110257.342086,12
1575110257.449974,13
1575110257.562308,14
1575110257.674889,13
1575110257.787630,13
1575110257.903824,13
1575110258.015991,20
1575110258.128212,13
1575110258.236274,11
1575110258.348400,14
1575110258.460391,16
1575110258.576265,16
1575110258.682474,20
1575110258.794785,17
1575110258.907581,11
1575110259.019999,10
1575110259.131876,18
1575110259.244117,2
1575110259.356313,3
1575110259.463520,13
1575110259.576544,7
1575110259.688880,8
1575110259.801357,9
1575110259.913815,9
1575110260.025797,10
1575110260.138074,12
1575110260.250189,12
1575110260.362366,12
1575110260.477116,13
1575110260.583508,15
1575110260.695705,16
1575110260.810049,17
1575110260.922413,15
1575110261.034940,17
1575110261.147052,18
1575110261.259295,17
1575110261.371321,18
1575110261.475441,18
1575110261.588028,19
1575110261.701560,12
1575110261.813973,10
1575110261.926216,11
1575110262.038560,11
1575110262.150689,12
1575110262.258400,12
1575110262.373250,13
1575110262.485665,15
1575110262.598239,15
1575110262.710327,16
1575110262.822454,18
1575110262.934789,16
1575110263.047297,17
1575110263.159959,18
1575110263.272327,18
1575110263.384541,18
1575110263.498105,19
1575110263.611024,11
1575110263.724524,10
1575110263.837025,11
1575110263.949398,11
1575110264.061588,13
1575110264.174391,13
1575110264.282236,14
1575110264.394185,14
1575110264.519672,15
1575110264.632600,20
1575110264.743522,10
1575110264.856308,6
1575110264.968623,8
1575110265.081119,4
1575110265.193104,19
1575110265.300658,17
1575110265.412762,1
1575110265.525019,4
1575110265.638236,6
1575110265.750198,19
1575110265.862793,20
1575110265.975330,4
1575110266.087957,4
1575110266.200446,6
1575110266.312628,7
1575110266.424801,9
1575110266.529977,9
1575110266.642446,11
1575110266.755125,11
1575110266.867115,11
1575110266.979402,12
1575110267.091803,14
1575110267.204200,13
1575110267.316645,15
1575110267.432945,15
1575110267.546477,16
1575110267.653048,18
1575110267.763147,17
1575110267.876705,19
1575110267.990001,18
1575110268.103263,18
1575110268.208103,19
1575110268.311986,9
1575110268.415696,9
1575110268.528027,10
1575110268.642060,11
1575110268.756207,13
1575110268.871286,13
1575110268.984387,13
1575110269.088985,14
1575110269.193634,14
1575110269.307146,16
1575110269.421108,17
1575110269.534320,16
1575110269.646951,18
1575110269.759704,18
1575110269.872047,20
1575110269.977703,20
1575110270.090099,20
1575110270.202576,19
1575110270.316540,18
1575110270.425749,9
1575110270.538685,11
1575110270.651003,11
1575110270.759213,13
1575110270.872303,13
1575110270.976745,15
1575110271.089045,16
1575110271.203820,15
1575110271.316662,18
1575110271.428823,11
1575110271.536984,6
1575110271.650723,9
1575110271.754516,5
1575110271.866850,20
1575110271.981346,20
1575110272.093792,1
1575110272.206141,3
1575110272.319525,9
1575110272.432808,18
1575110272.629254,3
1575110272.741569,6
1575110272.853593,6
1575110272.965821,7
1575110273.078216,9
1575110273.190485,9
1575110273.302493,11
1575110273.414779,13
1575110273.527368,11
1575110273.640116,13
1575110273.752331,14
1575110273.864415,14
1575110273.972278,15
1575110274.084609,15
1575110274.196932,16
1575110274.309144,18
1575110274.421425,18
1575110274.533502,18
1575110274.645838,18
1575110274.758285,19
1575110274.865448,18
1575110274.972926,10
1575110275.085112,10
1575110275.197396,10
1575110275.309807,12
1575110275.421946,14
1575110275.534220,14
1575110275.646558,13
1575110275.758928,15
1575110275.871173,16
1575110275.983162,15
1575110276.095216,16
1575110276.207673,17
1575110276.319844,18
1575110276.432002,19
1575110276.544795,20
1575110276.657259,18
1575110276.769548,8
1575110276.881985,10
1575110276.994055,10
1575110277.106322,11
1575110277.218901,14
1575110277.331058,13
1575110277.443070,14
1575110277.585921,14
1575110277.698482,16
1575110277.819581,15
1575110277.930464,17
1575110278.043720,9
1575110278.156079,8
1575110278.268263,10
1575110278.382277,3
1575110278.494458,20
1575110278.607701,20
1575110278.722278,2
